dataset,source,column,dtype,n_unique,min_observed,max_observed,constraint_type_SUGGESTED,constraint_type_CONFIRMED,auto_note,kishore_note
Airbnb,cleanml,Bathrooms,float64,10,0.0,9.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Bedrooms,float64,10,1.0,10.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Beds,float64,18,0.0,20.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,LocationName,str,276,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
Airbnb,cleanml,NumGuests,float64,16,1.0,16.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,NumReviews,float64,432,2.0,1099.0,no_negative,,"observed min=2 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Price,float64,504,10.0,999.0,no_negative,,name suggests non-negative quantity; observed min=10 >= 0,
Airbnb,cleanml,Rating,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,latitude,float64,24631,25.45269,47.74276,no_negative,,"observed min=25.5 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,longitude,float64,24395,-122.54459,-70.98335,none,,"negative values present (min=-123) — verify: real negative quantity, or undocumented sentinel?",
Airbnb,cleanml,zipcode,int64,362,2108,98177,no_negative,,"observed min=2.11e+03 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop2016,float64,361,69.0,114602.0,no_negative,,"observed min=69 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop2010,float64,358,84.0,109931.0,no_negative,,"observed min=84 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop2000,int64,362,1,106154,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,cost_living_index (US avg. = 100),float64,274,94.9,197.8,no_negative,,name suggests non-negative quantity; observed min=94.9 >= 0,
Airbnb,cleanml,land_area (sq.mi.),float64,93,0.0,41.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,water_area (sq.mi.),float64,23,0.0,5.2,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop_density (people per mile),int64,360,51,155635,no_negative,,"observed min=51 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,number of males,int64,360,49,61376,no_negative,,"observed min=49 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,number of females,int64,362,0,56899,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,prop taxes paid 2016,float64,16,0.2,2.3,no_negative,,"observed min=0.2 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,median taxes (with mortgage,float64,323,269.0,10587.0,no_negative,,name suggests non-negative quantity; observed min=269 >= 0,
Airbnb,cleanml,median taxes (no mortgage),float64,325,281.0,10810.0,no_negative,,name suggests non-negative quantity; observed min=281 >= 0,
Airbnb,cleanml,median house value,float64,345,53720.0,2219817.0,no_negative,,"observed min=5.37e+04 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,median houshold income,float64,358,16309.0,260372.0,no_negative,,name suggests non-negative quantity; observed min=1.63e+04 >= 0,
Airbnb,cleanml,median monthly owner costs (with mortgage),float64,322,759.0,3987.0,no_negative,,name suggests non-negative quantity; observed min=759 >= 0,
Airbnb,cleanml,median monthly owner costs (no mortgage),float64,271,234.0,1513.0,no_negative,,name suggests non-negative quantity; observed min=234 >= 0,
Airbnb,cleanml,median gross rent,float64,320,443.0,3452.0,no_negative,,"observed min=443 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,median asking price for vacant for-sale home/condo,float64,307,112123.0,7040133.0,no_negative,,name suggests non-negative quantity; observed min=1.12e+05 >= 0,
Airbnb,cleanml,unemployment (%),float64,117,0.4,19.9,no_negative,,"observed min=0.4 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Number of Homes,float64,361,27.6,45840.8,no_negative,,"observed min=27.6 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Count of Abnb,int64,172,1,4143,no_negative,,name suggests non-negative quantity; observed min=1 >= 0,
Airbnb,cleanml,Density of Abnb (%),float64,361,0.003440114,330.488194,no_negative,,"observed min=0.00344 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Average Abnb Price (by zipcode),float64,359,16.0,347.0,no_negative,,name suggests non-negative quantity; observed min=16 >= 0,
Airbnb,cleanml,Average NumReviews (by zipcode),float64,345,4.0,206.0,no_negative,,name suggests non-negative quantity; observed min=4 >= 0,
Airbnb,cleanml,Average Rating (by zipcode),float64,240,4.25,5.0,no_negative,,name suggests non-negative quantity; observed min=4.25 >= 0,
Airbnb,cleanml,Average Number of Bathrooms (by zipcode),float64,249,0.344827586,3.043478261,no_negative,,name suggests non-negative quantity; observed min=0.345 >= 0,
Airbnb,cleanml,Average Number of Bedrooms (by zipcode),float64,259,0.0,3.333333333,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
Airbnb,cleanml,Average Number of Beds (by zipcode),float64,292,1.0,6.0,no_negative,,name suggests non-negative quantity; observed min=1 >= 0,
Airbnb,cleanml,Average Number of Guests (by zipcode),float64,292,1.0,6.0,no_negative,,name suggests non-negative quantity; observed min=1 >= 0,
EEG,cleanml,AF3,float64,548,1030.77,309231.0,no_negative,,"observed min=1.03e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,F7,float64,452,2830.77,7804.62,no_negative,,"observed min=2.83e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,F3,float64,345,1040.0,6880.51,no_negative,,"observed min=1.04e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,FC5,float64,312,2453.33,642564.0,no_negative,,"observed min=2.45e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,T7,float64,285,2089.74,6474.36,no_negative,,"observed min=2.09e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,P7,float64,330,2768.21,362564.0,no_negative,,"observed min=2.77e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,O1,float64,290,2086.15,567179.0,no_negative,,"observed min=2.09e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,O2,float64,294,4567.18,7264.1,no_negative,,"observed min=4.57e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,P8,float64,304,1357.95,265641.0,no_negative,,"observed min=1.36e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,T8,float64,346,1816.41,6674.36,no_negative,,"observed min=1.82e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,FC6,float64,419,3273.33,6823.08,no_negative,,"observed min=3.27e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,F4,float64,343,2257.95,7002.56,no_negative,,"observed min=2.26e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,F8,float64,558,86.6667,152308.0,no_negative,,"observed min=86.7 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,AF4,float64,592,1366.15,715897.0,no_negative,,"observed min=1.37e+03 >= 0, no clear name signal — weak guess, please confirm",
EEG,cleanml,Eye,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,AGEP,float64,75,17.0,94.0,no_negative,,name suggests non-negative quantity; observed min=17 >= 0,
ACSIncome,folktables,COW,float64,8,1.0,8.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,SCHL,float64,24,1.0,24.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,MAR,float64,5,1.0,5.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,OCCP,float64,524,10.0,9830.0,no_negative,,"observed min=10 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,POBP,float64,209,1.0,554.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,RELP,float64,18,0.0,17.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,WKHP,float64,93,1.0,99.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,SEX,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,RAC1P,float64,9,1.0,9.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSIncome,folktables,target,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,AGEP,float64,50,15.0,64.0,no_negative,,name suggests non-negative quantity; observed min=15 >= 0,
ACSPublicCoverage,folktables,SCHL,float64,24,1.0,24.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,MAR,float64,5,1.0,5.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,SEX,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,DIS,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,ESP,float64,9,0.0,8.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,CIT,float64,5,1.0,5.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,MIG,float64,3,1.0,3.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,MIL,float64,5,0.0,4.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,ANC,float64,4,1.0,4.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,NATIVITY,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,DEAR,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,DEYE,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,DREM,float64,2,1.0,2.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,PINCP,float64,911,-7100.0,30000.0,none,,"negative values present (min=-7.1e+03) — verify: real negative quantity, or undocumented sentinel?",
ACSPublicCoverage,folktables,ESR,float64,6,0.0,6.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,FER,float64,3,0.0,2.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,RAC1P,float64,9,1.0,9.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
ACSPublicCoverage,folktables,target,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
MagicTelescope,openml,fLength:,float64,18643,4.2835,334.177,no_negative,,name suggests non-negative quantity; observed min=4.28 >= 0,
MagicTelescope,openml,fWidth:,float64,18200,0.0,256.382,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
MagicTelescope,openml,fSize:,float64,7228,1.9413,5.3233,no_negative,,name suggests non-negative quantity; observed min=1.94 >= 0,
MagicTelescope,openml,fConc:,float64,6410,0.0131,0.893,no_negative,,"observed min=0.0131 >= 0, no clear name signal — weak guess, please confirm",
MagicTelescope,openml,fConc1:,float64,4421,0.0003,0.6752,no_negative,,"observed min=0.0003 >= 0, no clear name signal — weak guess, please confirm",
MagicTelescope,openml,fAsym:,float64,18704,-457.9161,575.2407,none,,"negative values present (min=-458) — verify: real negative quantity, or undocumented sentinel?",
MagicTelescope,openml,fM3Long:,float64,18693,-331.78,238.321,none,,"negative values present (min=-332) — verify: real negative quantity, or undocumented sentinel?",
MagicTelescope,openml,fM3Trans:,float64,18390,-205.8947,179.851,none,,"negative values present (min=-206) — verify: real negative quantity, or undocumented sentinel?",
MagicTelescope,openml,fAlpha:,float64,17981,0.0,90.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
MagicTelescope,openml,fDist:,float64,18437,1.2826,495.561,no_negative,,"observed min=1.28 >= 0, no clear name signal — weak guess, please confirm",
MagicTelescope,openml,class:,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
bank-marketing,openml,V1,uint8,77,18,95,no_negative,,"observed min=18 >= 0, no clear name signal — weak guess, please confirm",
bank-marketing,openml,V2,category,12,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V3,category,3,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V4,category,4,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V5,category,2,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V6,float64,7168,-8019.0,102127.0,none,,"negative values present (min=-8.02e+03) — verify: real negative quantity, or undocumented sentinel?",
bank-marketing,openml,V7,category,2,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V8,category,2,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V9,category,3,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V10,uint8,31,1,31,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
bank-marketing,openml,V11,category,12,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,V13,uint8,48,1,63,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
bank-marketing,openml,V14,float64,559,-1.0,871.0,none,,"no constraint signal found; observed range=[-1, 871]",
bank-marketing,openml,V15,float64,41,0.0,275.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
bank-marketing,openml,V16,category,4,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
bank-marketing,openml,Class,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
churn,openml,state,uint8,51,0,50,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
churn,openml,account_length,uint8,218,1,243,no_negative,,name suggests non-negative quantity; observed min=1 >= 0,
churn,openml,area_code,category,3,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
churn,openml,international_plan,category,2,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
churn,openml,voice_mail_plan,category,2,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
churn,openml,number_vmail_messages,uint8,48,0,52,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_day_minutes,float64,1961,0.0,351.5,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_day_calls,uint8,123,0,165,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_eve_minutes,float64,1879,0.0,363.7,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_eve_calls,uint8,126,0,170,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_night_minutes,float64,1853,0.0,395.0,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_night_calls,uint8,131,0,175,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_intl_minutes,float64,170,0.0,20.0,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,total_intl_calls,uint8,21,0,20,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
churn,openml,number_customer_service_calls,category,10,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
churn,openml,class,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
electricity,openml,day,category,7,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
electricity,openml,period,float64,48,0.0,1.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
electricity,openml,nswprice,float64,4089,0.0,1.0,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
electricity,openml,nswdemand,float64,5266,0.0,1.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
electricity,openml,vicprice,float64,3798,0.0,1.0,no_negative,,name suggests non-negative quantity; observed min=0 >= 0,
electricity,openml,vicdemand,float64,2846,0.0,1.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
electricity,openml,transfer,float64,1878,0.0,1.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
electricity,openml,class,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
heloc,openml,ExternalRiskEstimate,int64,61,-9,94,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,MSinceOldestTradeOpen,int64,526,-9,803,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,MSinceMostRecentTradeOpen,int64,112,-9,383,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,AverageMInFile,int64,237,-9,383,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,NumSatisfactoryTrades,int64,74,-9,79,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,NumTrades60Ever2DerogPubRec,int64,19,-9,19,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,NumTrades90Ever2DerogPubRec,int64,17,-9,19,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,PercentTradesNeverDelq,int64,72,-9,100,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
heloc,openml,MSinceMostRecentDelq,int64,87,-9,83,none,,"negative values present (min=-9) — verify: real negative quantity, or undocumented sentinel?",
